Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Congo (Kinshasa),4.346400041961671,0.06234246976089478,1.0595966913146981,0.2076934049720764,0.23980626956367498,0.23167516666316978,0.0604482712984085,2017.0
Costa Rica,7.126199999237061,1.035655256523132,1.3151607302474981,0.8322478530845642,0.5912283299942016,0.1964226458072662,0.10108131789922721,2017.0
Croatia,5.458600044250488,1.152317246681214,0.959862601486206,0.769115704257965,0.2859344585227966,0.1451565952358246,0.03368462200903892,2017.0
Cyprus,5.732799962615966,1.274927615394592,1.0291026545333861,0.913614940235138,0.3771803078727722,0.24973886021423342,0.04619559528040886,2017.0
Czech Republic,6.654600041198731,1.268562470413208,1.32484904334259,0.8274068006210328,0.4737532347335816,0.08085135177850725,0.03465058541989326,2017.0
Denmark,7.5459999671936036,1.396728602554322,1.4476883185043339,0.8652491049156188,0.6259593444900512,0.3188760977458954,0.42937401363372796,2017.0
Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015.0
Dominican Republic,5.199400003814698,0.9999227673034661,1.282279341217042,0.6425627490882875,0.545379966747284,0.169933569946289,0.1174010506386756,2017.0
Ecuador,5.991999979400633,0.927780079666138,1.157387762741088,0.7533032444725036,0.47952763971138,0.12125249300479882,0.1416809294977188,2017.0
Egypt,4.375200026702879,0.9246903614997863,0.8613202784309388,0.5710934517440795,0.23929203092575077,0.1073202885570526,0.09111027309560779,2017.0
El Salvador,6.124199956512451,0.8296048991661072,1.097989018310546,0.6594777105560302,0.41992850593376163,0.0863895970826149,0.09397419197845458,2017.0
Estonia,5.637800012207032,1.2378518680343622,1.363242219932556,0.7521516632728577,0.47822428607749945,0.09178416224098206,0.17105578444576258,2017.0
Ethiopia,4.423200007629394,0.2933587690944672,0.766209840751648,0.41254794150924684,0.401274548488617,0.2560241480293274,0.1467271427736282,2017.0
Finland,7.537799972534179,1.3569603850326541,1.43442934501648,0.8738355339088439,0.6215361713371277,0.217782554517746,0.398474308588028,2017.0
France,6.515199982452392,1.344116692382812,1.31824737033081,0.9162411703567503,0.4883904231033326,0.11673646136188501,0.18320848565864561,2017.0
Gabon,4.407800030517578,1.1019920478820802,1.02631604346466,0.42293971769714356,0.3126897154083252,0.04988907566738128,0.07741935744047164,2017.0
Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019.0
Georgia,4.3387999549865714,0.8538865328445434,0.481344986793518,0.6828313961715697,0.35215800712203976,0.05166776308751105,0.26655532705497736,2017.0
Germany,6.92900004272461,1.395342676742554,1.359526070281982,0.8707361463508606,0.5585882768974304,0.2913858340091706,0.2651343876247406,2017.0
Ghana,4.536399977111816,0.6093749648857116,0.7621469473495484,0.3633535453567504,0.42723525870323176,0.2313647887516022,0.03409727397441864,2017.0
Greece,5.152400047302246,1.2054814962234501,1.056294914543152,0.8741237806167602,0.08578825018835068,0.0,0.03530595537829399,2017.0
Guatemala,6.34379999923706,0.8066143891944886,1.141467038726806,0.6157759979515076,0.5502861235847474,0.24009167856597902,0.08159065571641921,2017.0
Guinea,3.853599993896484,0.27337398601913454,0.6375789371299744,0.2417018278369904,0.3522735025939942,0.24850501841735842,0.1063055235438346,2017.0
Haiti,3.8655999851226794,0.3228620525741578,0.616215964389801,0.3357462260074616,0.08926797146522998,0.44833075617790225,0.1260764299054146,2017.0
Honduras,5.240800046539306,0.6564366235466004,1.058876995742798,0.6622998959884644,0.3966219720420838,0.2227717747297286,0.07253109050941468,2017.0
Hong Kong,5.448,1.4349349999999998,1.1238474999999999,1.0295125,0.5102175,0.3249375,0.3164275,2017.0
